Disease,Number,IC,Blur,LC,
A,1,1,1,1,
A,2,1,1,1,
A,3,1,1,1,
A,4,1,1,1,
A,5,1,1,1,
A,6,1,1,1,
A,7,1,1,1,
A,8,1,1,1,
A,9,1,1,1,
A,10,1,1,1,
A,11,1,1,1,
A,12,1,1,1,
A,13,1,1,1,
A,14,1,1,1,
A,15,1,1,1,
A,16,1,1,1,
A,17,1,1,1,
A,18,1,1,1,
A,19,1,1,1,
A,20,1,1,1,
A,21,1,1,1,
A,22,1,1,1,
A,23,1,1,1,
A,24,1,1,1,
A,25,1,1,1,
A,26,1,1,1,
A,27,1,1,1,
A,28,1,1,1,
A,29,0,0,1,
A,30,1,1,1,
A,31,1,1,1,
A,32,1,1,1,
A,33,1,1,1,
A,34,1,1,1,
A,35,1,1,1,
A,36,1,1,1,
A,37,1,1,1,
A,38,1,1,1,
A,39,1,1,1,
A,40,1,1,1,
A,41,1,1,1,
A,42,1,1,1,
A,43,1,1,1,
A,44,1,0,1,
A,45,1,1,1,
A,46,1,1,1,
A,47,1,1,1,
A,48,1,1,1,
A,49,1,1,1,
A,50,1,1,1,
A,51,1,1,1,
A,52,1,1,1,
A,53,1,1,1,
A,54,1,1,1,
A,55,1,1,1,
A,56,1,1,1,
A,57,1,1,1,
A,58,1,1,1,
A,59,1,0,1,
A,60,1,1,1,
A,61,1,1,1,
A,62,1,1,1,
A,63,1,1,1,
A,64,1,1,1,
A,65,1,1,1,
A,66,1,0,1,
A,67,1,1,1,
A,68,1,1,1,
A,69,1,1,1,
A,70,1,1,1,
A,71,1,1,1,
A,72,1,1,1,
A,73,1,1,1,
A,74,1,1,1,
A,75,1,1,1,
A,76,0,0,1,
A,77,0,1,1,
A,78,1,1,1,
A,79,1,1,1,
A,80,1,1,1,
A,81,1,1,1,
A,82,1,0,1,
A,83,1,0,1,
A,84,1,0,1,
A,85,1,0,1,
A,86,1,1,1,
A,87,1,1,1,
A,88,1,1,1,
A,89,1,1,1,
A,90,1,1,1,
A,91,0,1,1,
A,92,1,1,1,
A,93,1,1,1,
A,94,1,1,1,
A,95,1,1,1,
A,96,1,1,1,
A,97,1,1,1,
A,98,0,1,1,
A,99,0,1,1,
A,100,1,1,1,
A,101,1,1,1,
A,102,0,1,1,
A,103,1,1,1,
A,104,1,1,1,
A,105,1,1,1,
A,106,1,0,1,
A,107,1,0,1,
A,108,1,0,1,
A,109,1,0,1,
A,110,1,1,1,
A,111,1,1,1,
A,112,1,1,1,
A,113,1,1,1,
A,114,1,1,1,
A,115,1,1,1,
A,116,1,1,1,
A,117,1,1,1,
A,118,1,1,1,
A,119,1,1,1,
A,120,1,1,1,
A,121,1,1,1,
A,122,1,1,1,
A,123,1,1,1,
A,124,1,1,1,
A,125,1,1,1,
A,126,1,1,1,
A,127,1,1,1,
A,128,1,1,1,
A,129,1,1,1,
A,130,1,1,1,
A,131,1,0,1,
A,132,1,1,1,
A,133,1,1,1,
A,134,1,1,1,
A,135,1,1,1,
A,136,1,1,1,
A,137,1,1,1,
A,138,1,0,1,
A,139,1,1,1,
A,140,1,1,1,
A,141,1,1,1,
A,142,1,1,1,
A,143,0,0,1,
A,144,1,1,1,
A,145,1,1,1,
A,146,1,1,1,
A,147,1,1,1,
A,148,1,1,1,
A,149,1,1,1,
A,150,1,1,1,
D,151,0,1,1,
D,152,1,1,1,
D,153,1,1,1,
D,154,1,1,1,
D,155,0,0,1,
D,156,1,1,1,
D,157,1,1,1,
D,158,1,1,1,
D,159,1,1,1,
D,160,1,1,1,
D,161,1,1,1,
D,162,1,1,1,
D,163,0,0,1,
D,164,1,1,1,
D,165,0,1,1,
D,166,0,0,1,
D,167,1,1,1,
D,168,0,1,1,
D,169,1,0,1,
D,170,1,1,1,
D,171,1,1,1,
D,172,1,1,1,
D,173,0,0,1,
D,174,1,1,1,
D,175,0,1,1,
D,176,1,1,1,
